type,ambient_temperature,battery_id,test_id,uid,filename,Capacity,Re,Rct
-1,4,47,0,1,00001.csv,0.9836894380416044,0.054542950298530714,0.1831297016940335
0,24,47,1,2,00002.csv,0.9836894380416044,0.054542950298530714,0.1831297016940335
1,4,47,2,3,00003.csv,0.9836894380416044,0.054542950298530714,0.1831297016940335
0,24,47,3,4,00004.csv,0.9836894380416044,0.051825418368219904,0.1524927340360739
-1,4,47,4,5,00005.csv,0.9259900254814578,0.051825418368219904,0.1524927340360739
1,4,47,5,6,00006.csv,0.9259900254814578,0.051825418368219904,0.1524927340360739
-1,4,47,6,7,00007.csv,0.9195160437582474,0.051825418368219904,0.1524927340360739
1,4,47,7,8,00008.csv,0.9195160437582474,0.051825418368219904,0.1524927340360739
-1,4,47,8,9,00009.csv,0.9096921272923733,0.051825418368219904,0.1524927340360739
1,4,47,9,10,00010.csv,0.9096921272923733,0.051825418368219904,0.1524927340360739
-1,4,47,10,11,00011.csv,0.9030592472308503,0.051825418368219904,0.1524927340360739
1,4,47,11,12,00012.csv,0.9030592472308503,0.051825418368219904,0.1524927340360739
-1,4,47,12,13,00013.csv,0.8956218575430903,0.051825418368219904,0.1524927340360739
0,24,47,13,14,00014.csv,0.8956218575430903,0.05792726015622872,0.19094982816953304
1,4,47,14,15,00015.csv,0.8956218575430903,0.05792726015622872,0.19094982816953304
0,24,47,15,16,00016.csv,0.8956218575430903,0.05365929413680809,0.16168355712435917
-1,4,47,16,17,00017.csv,0.8943941082799586,0.05365929413680809,0.16168355712435917
0,24,47,17,18,00018.csv,0.8943941082799586,0.05721031528813153,0.17475707725811432
1,4,47,18,19,00019.csv,0.8943941082799586,0.05721031528813153,0.17475707725811432
0,24,47,19,20,00020.csv,0.8943941082799586,0.051465460084366386,0.15892627848896482
-1,4,47,20,21,00021.csv,0.8883513433395804,0.051465460084366386,0.15892627848896482
1,4,47,21,22,00022.csv,0.8883513433395804,0.051465460084366386,0.15892627848896482
-1,4,47,22,23,00023.csv,0.8834677231857654,0.051465460084366386,0.15892627848896482
1,4,47,23,24,00024.csv,0.8834677231857654,0.051465460084366386,0.15892627848896482
-1,4,47,24,25,00025.csv,0.8754676632620011,0.051465460084366386,0.15892627848896482
1,4,47,25,26,00026.csv,0.8754676632620011,0.051465460084366386,0.15892627848896482
